,Unnamed: 0,palabra,tamanyo,threshold,distancia,trie,tiempo,media_trie-distancia,mediana_trie-distancia
0,0,casa,2500,1,i,Yes,0.0521252110000001,0.04691548528570623,0.0455435519999696
1,1,casa,2500,2,i,Yes,0.0796321270000002,0.05709684085714527,0.0548465460000215
2,2,casa,2500,4,i,Yes,0.1814783129999999,0.16203181699999905,0.1814783129999999
3,3,casa,2500,5,i,Yes,0.219769114,0.2360728418571448,0.2672445250000237
4,4,casa,2500,7,i,Yes,0.2735280420000001,0.3285209667142882,0.3426818399999973
5,5,casa,2500,1,d,Yes,0.060804853,0.04928159657143576,0.0449865780000209
6,6,casa,2500,2,d,Yes,0.0803974839999996,0.05656268042857154,0.0542635560000093
7,7,casa,2500,4,d,Yes,0.1647422510000002,0.14543922485713828,0.1647422510000002
8,8,casa,2500,5,d,Yes,0.1932548550000001,0.2068075802857216,0.2337970100000177
9,9,casa,2500,7,d,Yes,0.2413709420000001,0.29795511571428845,0.3058405790000051
10,10,casa,2500,1,l,Yes,0.0492869559999999,0.049144528142858544,0.0452049009999768
11,11,casa,2500,2,l,Yes,0.0551063649999998,0.05049899814285539,0.0453123169999969
12,12,casa,2500,4,l,Yes,0.0657183129999996,0.06666967071428963,0.0657183129999996
13,13,casa,2500,5,l,Yes,0.0715346729999999,0.07583461399999906,0.0752121149999993
14,14,casa,2500,7,l,Yes,0.0787002700000001,0.0884801364285814,0.0867200220000086
15,15,casa,2500,1,i,No,0.0985929110000003,0.09780499328572279,0.1058217490000288
16,16,casa,2500,2,i,No,0.0981092490000001,0.12324766771428787,0.1143539960000055
17,17,casa,2500,4,i,No,0.1163611659999999,0.1564911132857109,0.1470974649999945
18,18,casa,2500,5,i,No,0.110981401,0.16575041271427887,0.1460404950000011
19,19,casa,2500,7,i,No,0.1089503629999999,0.16207079814285685,0.135351925000009
20,20,casa,2500,1,d,No,0.1037777919999998,0.09535192114286073,0.0978587399999995
21,21,casa,2500,2,d,No,0.102368996,0.12861248514286527,0.1335843160000251
22,22,casa,2500,4,d,No,0.1020288310000001,0.15708680542857395,0.1673525969999971
23,23,casa,2500,5,d,No,0.1001371979999996,0.16163924185714312,0.1337797969999883
24,24,casa,2500,7,d,No,0.1021009620000006,0.1621737037142877,0.1350942380000219
25,25,casa,2500,1,l,No,0.1046681920000001,0.09597011199999954,0.1008199760000039
26,26,casa,2500,2,l,No,0.1035157619999997,0.12687865699999565,0.1156363319999798
27,27,casa,2500,4,l,No,0.1058346410000004,0.1552885855714284,0.1601828229999995
28,28,casa,2500,5,l,No,0.1030569309999993,0.1656054675714216,0.1518098090000066
29,29,casa,2500,7,l,No,0.1040314469999996,0.16741574542856982,0.1554182439999962
30,30,casa,10000,1,i,Yes,0.1934431850000004,0.1892096510000019,0.1768892370000117
31,31,casa,10000,2,i,Yes,0.286959918,0.23142021428570445,0.201196264999993
32,32,casa,10000,4,i,Yes,0.7015106599999994,0.6166996132857223,0.7015106599999994
33,33,casa,10000,5,i,Yes,0.8684313379999997,0.9167993662857146,1.0645061250000083
34,34,casa,10000,7,i,Yes,1.136789037000001,1.3483657477142776,1.3871027180000013
35,35,casa,10000,1,d,Yes,0.2087838360000002,0.18433537057142776,0.1779641630000128
36,36,casa,10000,2,d,Yes,0.2740178719999999,0.21609823114285498,0.2012405269999959
37,37,casa,10000,4,d,Yes,0.625845055000001,0.5414615512857102,0.625845055000001
38,38,casa,10000,5,d,Yes,0.7751851529999989,0.7995529664285778,0.9225533700000028
39,39,casa,10000,7,d,Yes,1.005652608,1.1700539694285776,1.2095163469999974
40,40,casa,10000,1,l,Yes,0.1810720329999995,0.17936852928571967,0.1776227980000158
41,41,casa,10000,2,l,Yes,0.1982575260000008,0.18556996228570885,0.180710275999985
42,42,casa,10000,4,l,Yes,0.2682441020000006,0.24725076800000728,0.2607983089999948
43,43,casa,10000,5,l,Yes,0.2791658019999996,0.28910366614285493,0.293897644999987
44,44,casa,10000,7,l,Yes,0.3238821069999993,0.3453729591428595,0.3476149220000053
45,45,casa,10000,1,i,No,0.3945349579999995,0.5059537211428579,0.4259489920000021
46,46,casa,10000,2,i,No,0.3921155030000012,0.5828058890000057,0.488705147999994
47,47,casa,10000,4,i,No,0.3914858240000001,0.6314793561428595,0.5192221170000266
48,48,casa,10000,5,i,No,0.3960497109999998,0.6348939708571345,0.5322716739999578
49,49,casa,10000,7,i,No,0.3981701819999994,0.6485954718571367,0.5297924039999771
50,50,casa,10000,1,d,No,0.4012861819999997,0.5163948492857163,0.4264480390000074
51,51,casa,10000,2,d,No,0.3821518140000002,0.580773602571435,0.4947436229999908
52,52,casa,10000,4,d,No,0.4004619940000005,0.6307063001428642,0.5252478140000107
53,53,casa,10000,5,d,No,0.3889931619999984,0.6239252342857081,0.5284797869999807
54,54,casa,10000,7,d,No,0.3858901639999992,0.6380275868571503,0.5304936300000236
55,55,casa,10000,1,l,No,0.3870787040000003,0.49554000957142363,0.425113897000017
56,56,casa,10000,2,l,No,0.3967543520000021,0.5827349535714299,0.4919475749999975
57,57,casa,10000,4,l,No,0.3840763170000016,0.6346140048571384,0.527122401999975
58,58,casa,10000,5,l,No,0.384320633999998,0.6194372964285709,0.5271481899999912
59,59,casa,10000,7,l,No,0.3843621230000025,0.6249117391428598,0.5321732229999725
60,60,casa,35000,1,i,Yes,0.4431175100000004,0.4198414720000026,0.4054873329999964
61,61,casa,35000,2,i,Yes,0.7040740350000014,0.5123279539999993,0.4518028710000124
62,62,casa,35000,4,i,Yes,1.755148836,1.4168576511428579,1.4631460990000278
63,63,casa,35000,5,i,Yes,2.055186816999999,2.076390308142863,2.490982109000015
64,64,casa,35000,7,i,Yes,2.512780653,2.9933966324285715,3.0825691250000062
65,65,casa,35000,1,d,Yes,0.4581830429999982,0.4224941288571295,0.4049072369999749
66,66,casa,35000,2,d,Yes,0.5990379690000012,0.491010060714287,0.4546453959999894
67,67,casa,35000,4,d,Yes,1.6015573950000004,1.2803274162857068,1.312394143999995
68,68,casa,35000,5,d,Yes,1.8779769500000008,1.8289289991428497,2.1484542050000077
69,69,casa,35000,7,d,Yes,2.4967018639999985,2.6556222078571508,2.7177673220000003
70,70,casa,35000,1,l,Yes,0.6258552670000057,0.4433995638571458,0.4123459489999845
71,71,casa,35000,2,l,Yes,0.5164956009999955,0.4333992914285706,0.4096239880000212
72,72,casa,35000,4,l,Yes,0.9167271839999956,0.6004009944285664,0.5569837919999827
73,73,casa,35000,5,l,Yes,1.061545253999995,0.7082737512857104,0.7078371430000061
74,74,casa,35000,7,l,Yes,1.210859854000006,0.8613747442857098,0.8790479899999895
75,75,casa,35000,1,i,No,1.370265595999996,1.2876178195714314,1.102943504999999
76,76,casa,35000,2,i,No,1.1700049450000023,1.3991469937142986,1.1737780440000165
77,77,casa,35000,4,i,No,1.1224383049999958,1.4589868255714364,1.2439371769999923
78,78,casa,35000,5,i,No,0.9684595359999976,1.43326215171428,1.1754543229999967
79,79,casa,35000,7,i,No,0.9486893660000036,1.4962867612857178,1.226543595999999
80,80,casa,35000,1,d,No,0.9879902910000028,1.2142586091428496,1.0005420479999998
81,81,casa,35000,2,d,No,0.9481009659999984,1.3365794704285747,1.1621159860000034
82,82,casa,35000,4,d,No,1.0205901060000002,1.394241384857141,1.175630167999998
83,83,casa,35000,5,d,No,1.0091868530000028,1.3934614190000028,1.1785114990000238
84,84,casa,35000,7,d,No,0.8958439459999994,1.3955472245714264,1.2584566780000015
85,85,casa,35000,1,l,No,0.913139018999999,1.1933287010000027,0.9926454219999812
86,86,casa,35000,2,l,No,0.9043851899999992,1.326110941857144,1.182117204000008
87,87,casa,35000,4,l,No,0.8951743119999946,1.375615321428569,1.1861220050000156
88,88,casa,35000,5,l,No,0.957728465999999,1.3870824007142843,1.1802415390000078
89,89,casa,35000,7,l,No,0.9185759810000036,1.3823574504285818,1.1787221800000225
90,90,senor,2500,1,i,Yes,0.0499867019999982,0.04691548528570623,0.0455435519999696
91,91,senor,2500,2,i,Yes,0.0659490520000005,0.05709684085714527,0.0548465460000215
92,92,senor,2500,4,i,Yes,0.2429994139999962,0.16203181699999905,0.1814783129999999
93,93,senor,2500,5,i,Yes,0.3007401539999961,0.2360728418571448,0.2672445250000237
94,94,senor,2500,7,i,Yes,0.3426818399999973,0.3285209667142882,0.3426818399999973
95,95,senor,2500,1,d,Yes,0.0552788899999967,0.04928159657143576,0.0449865780000209
96,96,senor,2500,2,d,Yes,0.0650881469999973,0.05656268042857154,0.0542635560000093
97,97,senor,2500,4,d,Yes,0.2242357699999999,0.14543922485713828,0.1647422510000002
98,98,senor,2500,5,d,Yes,0.2672799580000031,0.2068075802857216,0.2337970100000177
99,99,senor,2500,7,d,Yes,0.3774404209999957,0.29795511571428845,0.3058405790000051
100,100,senor,2500,1,l,Yes,0.0645522020000015,0.049144528142858544,0.0452049009999768
101,101,senor,2500,2,l,Yes,0.0667413789999997,0.05049899814285539,0.0453123169999969
102,102,senor,2500,4,l,Yes,0.1010102460000013,0.06666967071428963,0.0657183129999996
103,103,senor,2500,5,l,Yes,0.0982853080000012,0.07583461399999906,0.0752121149999993
104,104,senor,2500,7,l,Yes,0.1099585709999999,0.0884801364285814,0.0867200220000086
105,105,senor,2500,1,i,No,0.109069826999999,0.09780499328572279,0.1058217490000288
106,106,senor,2500,2,i,No,0.1393046669999975,0.12324766771428787,0.1143539960000055
107,107,senor,2500,4,i,No,0.1470974649999945,0.1564911132857109,0.1470974649999945
108,108,senor,2500,5,i,No,0.1460404950000011,0.16575041271427887,0.1460404950000011
109,109,senor,2500,7,i,No,0.1233766109999976,0.16207079814285685,0.135351925000009
110,110,senor,2500,1,d,No,0.0978587399999995,0.09535192114286073,0.0978587399999995
111,111,senor,2500,2,d,No,0.1484729950000058,0.12861248514286527,0.1335843160000251
112,112,senor,2500,4,d,No,0.1673525969999971,0.15708680542857395,0.1673525969999971
113,113,senor,2500,5,d,No,0.1310664709999969,0.16163924185714312,0.1337797969999883
114,114,senor,2500,7,d,No,0.1280086629999957,0.1621737037142877,0.1350942380000219
115,115,senor,2500,1,l,No,0.1008199760000039,0.09597011199999954,0.1008199760000039
116,116,senor,2500,2,l,No,0.1537472899999983,0.12687865699999565,0.1156363319999798
117,117,senor,2500,4,l,No,0.1601828229999995,0.1552885855714284,0.1601828229999995
118,118,senor,2500,5,l,No,0.1518098090000066,0.1656054675714216,0.1518098090000066
119,119,senor,2500,7,l,No,0.1554182439999962,0.16741574542856982,0.1554182439999962
120,120,senor,10000,1,i,Yes,0.2298991549999982,0.1892096510000019,0.1768892370000117
121,121,senor,10000,2,i,Yes,0.3455663769999972,0.23142021428570445,0.201196264999993
122,122,senor,10000,4,i,Yes,0.9896815000000032,0.6166996132857223,0.7015106599999994
123,123,senor,10000,5,i,Yes,1.2087724240000028,0.9167993662857146,1.0645061250000083
124,124,senor,10000,7,i,Yes,1.3871027180000013,1.3483657477142776,1.3871027180000013
125,125,senor,10000,1,d,Yes,0.1927604700000031,0.18433537057142776,0.1779641630000128
126,126,senor,10000,2,d,Yes,0.2640693339999984,0.21609823114285498,0.2012405269999959
127,127,senor,10000,4,d,Yes,0.8446683240000041,0.5414615512857102,0.625845055000001
128,128,senor,10000,5,d,Yes,1.0260934990000052,0.7995529664285778,0.9225533700000028
129,129,senor,10000,7,d,Yes,1.2095163469999974,1.1700539694285776,1.2095163469999974
130,130,senor,10000,1,l,Yes,0.1808970089999917,0.17936852928571967,0.1776227980000158
131,131,senor,10000,2,l,Yes,0.1979819820000017,0.18556996228570885,0.180710275999985
132,132,senor,10000,4,l,Yes,0.3117721960000068,0.24725076800000728,0.2607983089999948
133,133,senor,10000,5,l,Yes,0.3150351059999963,0.28910366614285493,0.293897644999987
134,134,senor,10000,7,l,Yes,0.3476149220000053,0.3453729591428595,0.3476149220000053
135,135,senor,10000,1,i,No,0.4779398440000051,0.5059537211428579,0.4259489920000021
136,136,senor,10000,2,i,No,0.488705147999994,0.5828058890000057,0.488705147999994
137,137,senor,10000,4,i,No,0.4816870370000004,0.6314793561428595,0.5192221170000266
138,138,senor,10000,5,i,No,0.504159393000009,0.6348939708571345,0.5322716739999578
139,139,senor,10000,7,i,No,0.5199854130000006,0.6485954718571367,0.5297924039999771
140,140,senor,10000,1,d,No,0.5364085730000028,0.5163948492857163,0.4264480390000074
141,141,senor,10000,2,d,No,0.4947436229999908,0.580773602571435,0.4947436229999908
142,142,senor,10000,4,d,No,0.491066442999994,0.6307063001428642,0.5252478140000107
143,143,senor,10000,5,d,No,0.483850934000003,0.6239252342857081,0.5284797869999807
144,144,senor,10000,7,d,No,0.5005832679999997,0.6380275868571503,0.5304936300000236
145,145,senor,10000,1,l,No,0.4797383839999867,0.49554000957142363,0.425113897000017
146,146,senor,10000,2,l,No,0.4919475749999975,0.5827349535714299,0.4919475749999975
147,147,senor,10000,4,l,No,0.4938203340000058,0.6346140048571384,0.527122401999975
148,148,senor,10000,5,l,No,0.4858053439999992,0.6194372964285709,0.5271481899999912
149,149,senor,10000,7,l,No,0.4961581029999991,0.6249117391428598,0.5321732229999725
150,150,senor,35000,1,i,Yes,0.443298189999993,0.4198414720000026,0.4054873329999964
151,151,senor,35000,2,i,Yes,0.6949289180000022,0.5123279539999993,0.4518028710000124
152,152,senor,35000,4,i,Yes,2.352088561000002,1.4168576511428579,1.4631460990000278
153,153,senor,35000,5,i,Yes,2.7913121020000062,2.076390308142863,2.490982109000015
154,154,senor,35000,7,i,Yes,3.0825691250000062,2.9933966324285715,3.0825691250000062
155,155,senor,35000,1,d,Yes,0.4297061999999982,0.4224941288571295,0.4049072369999749
156,156,senor,35000,2,d,Yes,0.6671657489999916,0.491010060714287,0.4546453959999894
157,157,senor,35000,4,d,Yes,2.07477376,1.2803274162857068,1.312394143999995
158,158,senor,35000,5,d,Yes,2.4126296949999926,1.8289289991428497,2.1484542050000077
159,159,senor,35000,7,d,Yes,2.7177673220000003,2.6556222078571508,2.7177673220000003
160,160,senor,35000,1,l,Yes,0.4313810980000028,0.4433995638571458,0.4123459489999845
161,161,senor,35000,2,l,Yes,0.4654413439999985,0.4333992914285706,0.4096239880000212
162,162,senor,35000,4,l,Yes,0.6837327620000053,0.6004009944285664,0.5569837919999827
163,163,senor,35000,5,l,Yes,0.7341129699999982,0.7082737512857104,0.7078371430000061
164,164,senor,35000,7,l,Yes,0.8790479899999895,0.8613747442857098,0.8790479899999895
165,165,senor,35000,1,i,No,1.102943504999999,1.2876178195714314,1.102943504999999
166,166,senor,35000,2,i,No,1.200218826000011,1.3991469937142986,1.1737780440000165
167,167,senor,35000,4,i,No,1.2439371769999923,1.4589868255714364,1.2439371769999923
168,168,senor,35000,5,i,No,1.1586338559999945,1.43326215171428,1.1754543229999967
169,169,senor,35000,7,i,No,1.226543595999999,1.4962867612857178,1.226543595999999
170,170,senor,35000,1,d,No,1.1702705659999992,1.2142586091428496,1.0005420479999998
171,171,senor,35000,2,d,No,1.1621159860000034,1.3365794704285747,1.1621159860000034
172,172,senor,35000,4,d,No,1.1405847940000058,1.394241384857141,1.175630167999998
173,173,senor,35000,5,d,No,1.134537899999998,1.3934614190000028,1.1785114990000238
174,174,senor,35000,7,d,No,1.2584566780000015,1.3955472245714264,1.2584566780000015
175,175,senor,35000,1,l,No,1.179880495000006,1.1933287010000027,0.9926454219999812
176,176,senor,35000,2,l,No,1.1420249920000032,1.326110941857144,1.182117204000008
177,177,senor,35000,4,l,No,1.0998357539999972,1.375615321428569,1.1861220050000156
178,178,senor,35000,5,l,No,1.1100284789999932,1.3870824007142843,1.1802415390000078
179,179,senor,35000,7,l,No,1.159362774999991,1.3823574504285818,1.1787221800000225
180,180,constitución,2500,1,i,Yes,0.0510100380000011,0.04691548528570623,0.0455435519999696
181,181,constitución,2500,2,i,Yes,0.0523882350000093,0.05709684085714527,0.0548465460000215
182,182,constitución,2500,4,i,Yes,0.0540709329999913,0.16203181699999905,0.1814783129999999
183,183,constitución,2500,5,i,Yes,0.0622361169999976,0.2360728418571448,0.2672445250000237
184,184,constitución,2500,7,i,Yes,0.1217390550000061,0.3285209667142882,0.3426818399999973
185,185,constitución,2500,1,d,Yes,0.0528915670000031,0.04928159657143576,0.0449865780000209
186,186,constitución,2500,2,d,Yes,0.0542635560000093,0.05656268042857154,0.0542635560000093
187,187,constitución,2500,4,d,Yes,0.0545014570000006,0.14543922485713828,0.1647422510000002
188,188,constitución,2500,5,d,Yes,0.058039100000002,0.2068075802857216,0.2337970100000177
189,189,constitución,2500,7,d,Yes,0.1072900930000031,0.29795511571428845,0.3058405790000051
190,190,constitución,2500,1,l,Yes,0.0534811440000027,0.049144528142858544,0.0452049009999768
191,191,constitución,2500,2,l,Yes,0.0516379790000058,0.05049899814285539,0.0453123169999969
192,192,constitución,2500,4,l,Yes,0.0528455809999997,0.06666967071428963,0.0657183129999996
193,193,constitución,2500,5,l,Yes,0.0530911019999962,0.07583461399999906,0.0752121149999993
194,194,constitución,2500,7,l,Yes,0.0606431129999975,0.0884801364285814,0.0867200220000086
195,195,constitución,2500,1,i,No,0.1217195699999962,0.09780499328572279,0.1058217490000288
196,196,constitución,2500,2,i,No,0.1501668280000103,0.12324766771428787,0.1143539960000055
197,197,constitución,2500,4,i,No,0.2223277230000064,0.1564911132857109,0.1470974649999945
198,198,constitución,2500,5,i,No,0.2953708929999976,0.16575041271427887,0.1460404950000011
199,199,constitución,2500,7,i,No,0.2926524239999963,0.16207079814285685,0.135351925000009
200,200,constitución,2500,1,d,No,0.1249470180000003,0.09535192114286073,0.0978587399999995
201,201,constitución,2500,2,d,No,0.1489738230000057,0.12861248514286527,0.1335843160000251
202,202,constitución,2500,4,d,No,0.2205264939999978,0.15708680542857395,0.1673525969999971
203,203,constitución,2500,5,d,No,0.2895251879999989,0.16163924185714312,0.1337797969999883
204,204,constitución,2500,7,d,No,0.2935363299999949,0.1621737037142877,0.1350942380000219
205,205,constitución,2500,1,l,No,0.1227489319999932,0.09597011199999954,0.1008199760000039
206,206,constitución,2500,2,l,No,0.1560672840000023,0.12687865699999565,0.1156363319999798
207,207,constitución,2500,4,l,No,0.2173598030000079,0.1552885855714284,0.1601828229999995
208,208,constitución,2500,5,l,No,0.2888372860000032,0.1656054675714216,0.1518098090000066
209,209,constitución,2500,7,l,No,0.2954108199999865,0.16741574542856982,0.1554182439999962
210,210,constitución,10000,1,i,Yes,0.2016184940000016,0.1892096510000019,0.1768892370000117
211,211,constitución,10000,2,i,Yes,0.201196264999993,0.23142021428570445,0.201196264999993
212,212,constitución,10000,4,i,Yes,0.220983015999991,0.6166996132857223,0.7015106599999994
213,213,constitución,10000,5,i,Yes,0.2652116529999944,0.9167993662857146,1.0645061250000083
